date,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,return_1d,return_7d,return_30d,return_90d,return_365d,volatility_7d,volatility_30d,volatility_90d,volatility_365d,volume_mean_7d,volume_mean_30d,volume_mean_90d,volume_change_7d,volume_change_30d,quote_volume_mean_7d,quote_volume_mean_30d,quote_volume_mean_90d,quote_volume_change_7d,quote_volume_change_30d,trades_mean_7d,trades_mean_30d,trades_mean_90d,trades_change_7d,trades_change_30d,hl_range,hl_range_7d,hl_range_30d,hl_range_90d,ma_7d,ma_30d,ma_90d,ma_365d,distance_ma_7d,distance_ma_30d,distance_ma_90d,distance_ma_365d,future_volatility_30d,high_future_volatility
2019-01-01,3701.23,3810.16,3642.0,3797.14,23741.687033,88149249.09230462,154227,12919.155899,47973435.866858,0.025450322720030227,0.013708723660429412,-0.08744751875145707,-0.41672196620583724,-0.7162077727952167,0.045551168187878,0.045131596197543776,0.03878181689189188,0.0434782246828335,36931.611752000004,51040.620197766664,37532.656488,-0.2764270573339157,0.3598989513061899,137918209.78027034,187737089.61871785,170978558.81840155,-0.2653651440939374,0.09801539395425451,227118.14285714287,256821.56666666668,203598.05555555556,-0.11565782498350852,0.2614146336804679,0.04428596259289883,0.0619809554114624,0.06971820345542408,0.05380975611804881,3740.3114285714287,3640.8713333333335,5160.729333333333,7511.859534246575,0.015193540033717534,0.042920678145359714,-0.26422415229682006,-0.494513977173184,0.026082702566598042,0
2019-01-02,3796.45,3882.14,3750.45,3858.56,35156.463369,133876627.2465106,218538,17921.600114,68277897.66105787,0.016175331960370132,0.02139374334919819,-0.00655250630147719,-0.4148190949362961,-0.7370677289642122,0.04580163268411389,0.04355481565510729,0.03880069408869105,0.04317619490498896,35864.052830857145,50576.02333796667,37700.2360719,-0.2908882418216038,0.3415306801132654,134228413.02917817,185697779.87548912,170995536.00251827,-0.2771673785266646,0.08598027888139925,220088.42857142858,257201.7,204950.43333333332,-0.14429636906976673,0.2549458706519774,0.034129312489633454,0.06003427636770259,0.06783491437191555,0.0539558051857676,3751.8571428571427,3640.023,5130.337888888888,7482.225150684932,0.028440010661386683,0.060037258006336636,-0.24789359228039576,-0.4843031421412408,0.02591974130039775,0
2019-01-03,3857.57,3862.74,3730.0,3766.78,29406.948359,111657372.69526468,199812,14793.083267,56172495.42692984,-0.023786075634433468,0.055738513583582616,-0.04678057717808293,-0.43234197102017125,-0.7475265608589021,0.04015447614528494,0.04365862819972895,0.03883009008322667,0.04317825481945456,33765.41789471429,49939.93656283334,37848.12936042222,-0.3238794396097926,0.31948229428362485,127048630.57520099,183030578.17512238,171055456.64738148,-0.30586117444462346,0.07000724655295132,211099.7142857143,256501.6,206207.22222222222,-0.17700429827449693,0.2439021157250123,0.03523964765661912,0.05389830686136606,0.06644523313632564,0.05408962439291661,3780.2671428571434,3633.861,5098.461555555556,7451.669726027397,-0.0035677750665392693,0.03657789882441853,-0.2611928208234666,-0.4945052399674549,0.025772618231118826,0
2019-01-04,3767.2,3823.64,3703.57,3792.01,29519.554671,111034550.64066195,192232,15579.303258,58616203.97789647,0.006698028554892987,-0.012307059172861456,0.005880886191456325,-0.42495378563510444,-0.7481988161656996,0.027144995243948908,0.04282454464684544,0.038851325495580354,0.043176396569438974,31416.167849571426,49457.09507026667,38054.57435242222,-0.3647793546115762,0.299636007283804,118533777.9171129,181084917.5900921,171486418.96100777,-0.34542434845165493,0.05597235447121207,202698.57142857142,256275.63333333333,207653.52222222224,-0.20906030436016965,0.23415018724834202,0.03166394603389751,0.0455021993320915,0.06551122364977296,0.054299521452388866,3773.5171428571425,3634.6,5067.325333333333,7420.799780821918,0.004900695145340084,0.043308754746052,-0.2516742560309264,-0.4890025183269394,0.02579678203378642,0
2019-01-05,3790.09,3840.99,3751.0,3770.96,30490.667751,115893501.27515878,203673,14908.914175,56667455.38615935,-0.005551145698455495,0.020469133931567463,0.07473031706448174,-0.4299604248359097,-0.7776607731308065,0.022335321895893965,0.040746021363889745,0.03884062120742248,0.04264197507140621,30218.495542142857,48194.157430533334,38199.95030785555,-0.37298425466407314,0.2616287990464361,113917820.94103026,176457289.91609937,171502023.61124688,-0.35441703204670616,0.028893340151395996,196817.0,253281.0,208996.06666666668,-0.22293026322542941,0.2118936209644775,0.023863949763455402,0.0403290510116635,0.06250675989233347,0.054371520356458466,3784.3228571428567,3643.3403333333335,5035.722,7384.664356164384,-0.003531109169936264,0.035028203513973066,-0.25115802659479614,-0.4893525530578552,0.025802271721765885,0
2019-01-06,3771.12,4027.71,3740.0,3987.6,36553.806709,142198812.18914708,240496,19772.887008,76903705.93007119,0.05744956191526818,0.048841240323942436,0.17160024092491644,-0.40242858919737867,-0.7663943141655521,0.029344709935632464,0.04141264403977239,0.03937655788047255,0.04275704630157684,30694.41517742857,46241.1024061,38349.176831944445,-0.33620926880455493,0.2057912640143469,116379618.46516143,170451763.51306397,171374181.4974569,-0.3172284283451152,-0.0053824792995824655,199898.0,247513.5,210166.51111111112,-0.19237536538411038,0.17770190260780527,0.07215116862273048,0.04140791661562292,0.061725028170708435,0.05495907041879277,3810.85,3662.8086666666663,5005.884111111111,7348.822739726028,0.046380728708818264,0.088672754405408,-0.20341743606307583,-0.45738247591087466,0.02321993667356091,0
2019-01-07,3987.62,4017.9,3921.53,3975.45,31869.846264,126830380.4928724,221219,16404.352241,65287611.65056139,-0.0030469455311465943,0.07360447217046096,0.16550324984681608,-0.40278159603762276,-0.7538425625215557,0.026112353811317292,0.04144068839433593,0.039376191426775044,0.04267372407082555,30962.710593714288,45457.89894993333,38532.67757411111,-0.31887061855154886,0.17972333644612992,118520070.51884577,168415780.3211948,171648794.76483524,-0.29626505133420533,-0.018835054729453682,204313.85714285713,246432.46666666667,211491.65555555557,-0.17091339503078007,0.16521129885397623,0.024241280861286116,0.037939324002931554,0.05986517677268489,0.05509758729248681,3849.785714285714,3681.6259999999997,4976.093444444445,7315.467726027397,0.03264189101434223,0.07980821517449077,-0.2010901635220722,-0.4565692654406891,0.023373084381789748,0
2019-01-08,3976.76,4069.8,3903.0,3955.13,38901.423122,154778846.54236615,242898,20047.977601,79781104.89538665,-0.005111371039756452,0.04160763100649434,0.11557608937854158,-0.4035394359825064,-0.734600276194528,0.02574533391086569,0.04099518910371579,0.039376024574205186,0.042495187745426516,33128.38717785715,45222.7166108,38793.90825942222,-0.2674392504331442,0.1657169550535389,128038584.44028313,168187788.61165395,172239563.27217072,-0.23871652337421145,-0.023524064875351636,216981.14285714287,248043.5,213081.75555555554,-0.12522947443838328,0.16407666791223274,0.04217307648547587,0.037637483130442566,0.05878921159537206,0.055348428744547325,3872.3557142857144,3695.2846666666665,4946.361555555556,7285.474821917808,0.021375692684667102,0.0703180828468426,-0.20039609810614112,-0.45712117649473083,0.02337870127429794,0
2019-01-09,3955.45,4006.81,3930.04,3966.65,28989.439511,115218950.31554872,209240,14984.33702,59559010.745234,0.0029126729083495118,0.028013041134516525,0.1554875206823425,-0.3656080272779032,-0.7245381944444444,0.025367086442657352,0.04042491514176549,0.03898990641257208,0.04246499905819322,32247.38376957143,44822.7231094,38574.7642503,-0.2805572367643887,0.1619701113027907,125373202.02157429,167278155.85305297,170095850.22627878,-0.25051061579307743,-0.016565332837205737,215652.85714285713,248598.2,212593.04444444444,-0.13252446259523554,0.1693618699974193,0.019353862831356428,0.03552670460783156,0.05710500366730104,0.05480127405078821,3887.797142857143,3713.0769999999998,4920.961222222222,7256.890301369863,0.020282142880764686,0.06829187759909106,-0.1939278078259823,-0.45339534769442125,0.027696921250417575,0
2019-01-10,3966.06,3996.01,3540.0,3585.88,59402.22851,221789348.03469807,374760,28288.322574,105616252.06340843,-0.09599284030605171,-0.04802510366944712,0.06078884389079375,-0.43063285069410817,-0.7594513751510188,0.045414547331021585,0.04435723565906691,0.04014835827274557,0.042698612097863874,36532.42379114286,45605.4352546,38912.52155131111,-0.19894583645141273,0.17199897196236513,141106341.35577908,170609751.61111557,170526506.6154279,-0.1729292140497688,0.00048816455189215624,240645.42857142858,255681.33333333334,215111.74444444446,-0.05880720569578057,0.18859774018227315,0.12716822648833764,0.04865935872664849,0.059808815960546415,0.05594785626415722,3861.9542857142856,3719.9266666666663,4890.826444444445,7225.873287671233,-0.07148564309409589,-0.03603476054187438,-0.2668151199531422,-0.5037444116106742,0.021308986508742946,0
